Frequency (Hz),Channel 1 Magnitude (dB)
1,8.608374875128744
1.100933057998547,9.374236228295567
1.212053598194032,10.12372649557983
1.334389874317898,10.85583197417621
1.4690739248951,11.57286215937575
1.617352048560689,12.26872808617722
1.780596336682134,12.94425699467405
1.960317370004472,13.59303901426507
2.15817819680669,14.21613045638391
2.37600972191618,14.81013910832731
2.615827648983454,15.36789791544433
2.879851132792504,15.89116591591496
3.170523314205831,16.37791178304921
3.490533927764314,16.82509843173407
3.842844191141247,17.23312730315171
4.230714206765086,17.60263110203306
4.657733129171778,17.93314387709534
5.127852377240227,18.22705134865586
5.645422198640197,18.4869503610533
6.215231924841833,18.71469147764977
6.842554289186315,18.91265913045466
7.533194218114963,19.08405950005948
8.293542547046272,19.23031542867954
9.130635157960711,19.35497880263486
10.05221808592273,19.46111102614315
11.06681919700322,19.55145451785704
12.18382710087377,19.62775995089349
13.41357802829054,19.69075188846001
14.76745147738802,19.74471818995302
16.25797551384594,19.79077182292781
17.89894269932391,19.82890494837114
19.70553772090744,19.86054735524894
21.69447790258435,19.88703595910146
23.88416789897409,19.90974065584658
26.29487000276828,19.92927805783377
28.94889164182189,19.94409211937828
31.87079180089955,19.95641608431165
35.08760827819935,19.96647313502978
38.62910787957316,19.97571541076814
42.52806186561424,19.98268924759731
46.82054920046208,19.98827496747164
51.54629040843604,19.99243428838852
56.74901512784066,19.99810299721748
62.47686676309944,19.99985258990943
68.78284797966685,20.00403645567872
75.7253111641038,20.00642222031646
83.36849838778832,20.00828881240653
91.78313587081465,20.01072550716533
101.0470884469521,20.01055298405306
111.2460800857526,20.00880252467062
122.4744871391589,20.01291207923382
134.8362116529179,20.01287961291069
148.4456428239863,20.01205841170126
163.4287155007712,20.01267965414214
179.9240755210386,20.01128426608108
198.0843626709384,20.0100639106551
218.0776231370095,20.01248218276898
240.0888645212823,20.00935150424609
264.3217678088141,20.00596948874563
291.0005721293396,20.00327227810862
320.3721497536806,19.99935520731737
352.7082905258878,19.99832899926795
388.3082168701056,19.98797640900979
427.5013526447684,19.98345157705944
470.6503714657202,19.97311757377592
518.1545527059071,19.96704157581561
570.4534762263836,19.95584965510073
628.031090027814,19.94262414514437
691.4201884624817,19.92578428381154
761.207342445931,19.90847178326991
838.038327289946,19.88426305547651
922.624098383307,19.85163553762133
1015.747370016286,19.81978783820456
1118.269858226012,19.77098652498172
1231.140254684364,19.72742565473089
1355.403005414767,19.66560182250545
1492.207975571701,19.58794884175487
1642.821089715974,19.50505121026508
1808.636046045512,19.39872629111333
1991.187212979286,19.28497906698563
2192.163827432889,19.14074745062294
2413.425626169489,18.97621768906651
2657.020054870831,18.78294333791888
2925.201214172411,18.55608115897317
3220.450717979894,18.30202506429483
3545.500657079222,18.00634651165389
3903.358880534084,17.68120819715512
4297.336828812174,17.31364998572302
4731.080176193965,16.91626331663612
5208.602566013526,16.47157664365244
5734.322750900348,15.96600741444854
6313.105481699361,15.45876046142978
6950.306523434666,14.88452495344002
7651.822214872176,14.30446239151973
8424.144030280429,13.67460237860751
9274.418648276838,13.0285024680879
10210.51408360617,12.34233742178546
11241.09249380177,11.64087405897189
12375.69033444569,10.92342375398528
13624.80660474436,10.18852048839814
15000,9.4288266496989
